Designator,Mid X,Mid Y,Rotation,Layer
C1,107.4815,-105.0,180.0,top
C10,151.0,-102.0,0.0,top
C11,144.0,-102.0,0.0,top
C12,171.0,-81.0,180.0,top
C13,197.0,-81.0,180.0,top
C14,223.0,-81.0,180.0,top
C15,203.0,-94.890001,0.0,top
C16,145.0,-81.0,180.0,top
C17,119.0,-81.0,180.0,top
C18,93.0,-81.0,180.0,top
C19,67.0,-81.0,180.0,top
C2,187.0,-111.1375,180.0,top
C3,119.84,-116.5625,180.0,top
C4,137.84,-116.5625,180.0,top
C5,53.0,-113.0,180.0,top
C6,101.84,-116.5625,180.0,top
C7,83.9775,-116.5625,180.0,top
C8,187.0,-109.0,180.0,top
C9,137.0,-102.0,0.0,top
F1,77.12,-112.0,180.0,top
IC1,77.362,-122.0,0.0,top
IC10,131.367,-122.0,0.0,top
IC11,143.487,-122.0,0.0,top
IC12,137.482,-122.0,0.0,top
IC2,83.367,-122.0,0.0,top
IC3,89.382,-122.0,0.0,top
IC4,95.382,-122.0,0.0,top
IC5,101.362,-122.0,0.0,top
IC6,107.367,-122.0,0.0,top
IC7,113.367,-122.0,0.0,top
IC8,119.367,-122.0,0.0,top
IC9,125.367,-122.0,0.0,top
J1,151.475,-96.75,270.0,top
J11,62.75,-120.045,0.0,top
J13,161.81,-64.59,90.0,top
J14,187.81,-64.59,90.0,top
J17,213.81,-64.59,90.0,top
J18,212.19,-111.3,270.0,top
J2,126.755,-101.825,270.0,top
J23,135.81,-64.59,90.0,top
J24,109.81,-64.59,90.0,top
J25,83.81,-64.59,90.0,top
J26,57.81,-64.59,90.0,top
J4,137.475,-96.75,270.0,top
J5,144.475,-96.75,270.0,top
J6,116.755,-101.825,270.0,top
Q1,154.0,-79.2325,270.0,top
Q2,180.0,-79.2325,270.0,top
Q3,206.0,-79.2325,270.0,top
Q4,219.999999,-96.6575,90.0,top
Q5,128.0,-79.2325,270.0,top
Q6,102.0,-79.2325,270.0,top
Q7,76.0,-79.2325,270.0,top
Q8,50.0,-79.2325,270.0,top
R1,53.0,-116.0,180.0,top
R10,67.0,-79.0,180.0,top
R11,107.4815,-107.0,0.0,top
R12,53.0,-110.0,180.0,top
R13,53.0,-107.0,180.0,top
R14,158.0,-93.0,0.0,top
R15,181.0,-90.0,180.0,top
R16,98.175,-107.0,0.0,top
R17,61.8,-102.1,180.0,top
R18,56.8,-102.1,180.0,top
R19,82.0,-102.1,180.0,top
R2,98.175,-105.0,180.0,top
R20,77.0,-102.1,180.0,top
R3,171.0,-79.0,180.0,top
R4,197.0,-79.0,180.0,top
R5,223.0,-79.0,180.0,top
R6,203.0,-96.890001,0.0,top
R7,145.0,-79.0,180.0,top
R8,119.0,-79.0,180.0,top
R9,93.0,-79.0,180.0,top
S1,107.9815,-98.0,180.0,top
S2,98.8685,-98.0,180.0,top
U1,189.0,-80.295,180.0,top
U10,172.25,-105.6875,180.0,top
U11,58.7875,-96.05,0.0,top
U12,78.9875,-96.05,0.0,top
U2,77.12,-108.0,0.0,top
U3,163.0,-80.295,180.0,top
U4,215.0,-80.295,180.0,top
U5,211.0,-95.595,0.0,top
U6,137.0,-80.295,180.0,top
U7,111.0,-80.295,180.0,top
U8,85.0,-80.295,180.0,top
U9,59.0,-80.295,180.0,top
